station_id,variant,entry_ts,exit_ts,source_run
S12,MODEL_B,1970-01-01T05:50:38.884000+00:00,1970-01-01T05:58:59.559000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:51:38.997000+00:00,1970-01-01T06:00:02.732000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:52:32.867000+00:00,1970-01-01T06:01:29.292000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:53:24.744000+00:00,1970-01-01T06:02:21.721000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:54:24.914000+00:00,1970-01-01T06:03:19.268000+00:00,run_0002
S12,MODEL_B,1970-01-01T05:55:28.258000+00:00,1970-01-01T06:04:37.710000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:56:33.150000+00:00,1970-01-01T06:05:43.389000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:57:25.287000+00:00,1970-01-01T06:06:54.788000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:58:37.150000+00:00,1970-01-01T06:07:48.688000+00:00,run_0002
S12,MODEL_A,1970-01-01T05:59:55.282000+00:00,1970-01-01T06:08:50.872000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:00:51.394000+00:00,1970-01-01T06:09:58.104000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:01:54.466000+00:00,1970-01-01T06:11:03.415000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:03:05.993000+00:00,1970-01-01T06:12:20.942000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:04:01.154000+00:00,1970-01-01T06:13:36.852000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:05:08.239000+00:00,1970-01-01T06:14:19.138000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:06:20.318000+00:00,1970-01-01T06:15:24.971000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:07:15.652000+00:00,1970-01-01T06:16:29.424000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:08:33.363000+00:00,1970-01-01T06:17:04.898000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:09:33.677000+00:00,1970-01-01T06:18:26.265000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:10:49.398000+00:00,1970-01-01T06:19:37.977000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:11:44.102000+00:00,1970-01-01T06:20:34.687000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:12:46.383000+00:00,1970-01-01T06:21:30.615000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:13:33.952000+00:00,1970-01-01T06:22:13.697000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:14:44.196000+00:00,1970-01-01T06:23:23.788000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:15:39.501000+00:00,1970-01-01T06:24:12.835000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:16:58.640000+00:00,1970-01-01T06:25:27.990000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:18:01.679000+00:00,1970-01-01T06:26:15.085000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:18:46.049000+00:00,1970-01-01T06:27:27.225000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:19:51.138000+00:00,1970-01-01T06:28:19.660000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:20:40.236000+00:00,1970-01-01T06:29:18.681000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:21:57.464000+00:00,1970-01-01T06:30:12.593000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:22:43.214000+00:00,1970-01-01T06:31:19.127000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:23:53.315000+00:00,1970-01-01T06:32:33.367000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:24:43.924000+00:00,1970-01-01T06:33:13.246000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:25:43.272000+00:00,1970-01-01T06:34:25.332000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:26:34.280000+00:00,1970-01-01T06:35:33.114000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:27:47.196000+00:00,1970-01-01T06:36:36.747000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:28:36.392000+00:00,1970-01-01T06:37:47.123000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:29:34.351000+00:00,1970-01-01T06:39:01.918000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:30:54.429000+00:00,1970-01-01T06:40:15.293000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:31:44.463000+00:00,1970-01-01T06:41:15.726000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:32:41.656000+00:00,1970-01-01T06:41:58.626000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:33:49.282000+00:00,1970-01-01T06:42:44.894000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:35:02.768000+00:00,1970-01-01T06:43:54.425000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:36:17.417000+00:00,1970-01-01T06:44:58.275000+00:00,run_0002
